trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,4,27.957064067321586,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,7,10.394140095570013,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18667127671570335}",35,14,21.068420531986686,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1848045639485463}",30,16,28.902388532656197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,14,23.281975432394646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,13,26.907849457656372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,14,9.778172838377193,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17752252675876343}",25,19,9.891527628668554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,6,13.580833358928334,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.173989828476264}",20,0,-53.89488249691184,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.1722499301915014}",35,24,23.774103706728713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17052743088958636}",30,13,19.892338523416814,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,6,17.982345400548603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,3,-34.429449242289905,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.16546259566473476}",20,0,-18.54657831663626,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,10,7.896840501057333,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16216989001100654}",25,20,10.479778562422336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,7,14.638756551921064,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
